Population,maternal_plant,Family_ID,seeds,label,Date_planted,Germination_date,Time_to_germination,Is.germinated,Row,Column ,Date_flower_start,Days_to_first_flower,Bnr_wdth1.1,Bnr_length1.1,Bnr_wdth1.2,Bnr_length1.2,Bnr_wdth1.3,Bnr_length1.3,Bnr_wdth2.1,Bnr_length2.1,Bnr_wdth2.2,Bnr_length2.2,Bnr_wdth2.3,Bnr_length2.3,Inflor_height1,Inflor_height2,Inflor_height3,Number of flowers_inflorescences 1,Number of flowers_inflorescences 2,Number of inflorescences ,width_leaf1,length_leaf1,heigth_leaf1,width_leaf2,length_leaf2,heigth_leaf2,width_leaf3,length_leaf3,heigth_leaf3,Width_stolon1,Width_stolon2,weigth_flowers+bag,weigth_plant+bag,HCN_Results,Comments_HCN
9,2,1,5,9-1-5,2017-04-26,2017-05-04,8,1,4,27,2017-07-04,61,3.65,6.24,3.48,6.03,3.01,6.33,3.34,5.72,3.71,6.56,3.27,6.13,93.44,72.61,115.27,42,16,13,9.03,10.71,550,11.24,14.24,580,11.07,13.52,540,1.55,1.57,3.957,7.503,0,
4,14,1,1,4-1-1,2017-04-25,2017-04-30,5,1,4,28,2017-07-09,70,3.33,5.44,3.86,5.6,3.79,5.24,3.99,5.15,3.88,5.63,3.24,4.85,29.41,77.7,67.75,64,52,17,9.28,13.37,360,8.61,10.34,310,10.09,13.39,370,1.41,1.79,4.952,10.204,1,
2,3,3,3,2-3-3,2017-04-25,2017-04-30,5,1,4,29,2017-06-18,49,3.41,6.35,3.6,6.41,3.28,6.53,3.57,6.73,3.55,7.01,3.24,6.92,73.5,94.47,127,57,63,17,11.07,13.51,320,10.77,13.9,750,13.65,16.44,290,1.8,1.55,5.278,10.376,1,
16,2,6,4,16-6-4,2017-04-26,2017-04-30,4,1,4,30,2017-07-09,70,3.2,5.29,2.66,4.85,2.64,4.51,3.75,6.61,3.11,6.84,3.96,6.98,95.58,44.8,101.3,11,12,3,13.38,15.46,750,16.56,17.52,630,12.88,14.85,600,2.09,1.92,3.312,8.276,1,
13,4,3,4,13-3-4,2017-04-26,2017-04-30,4,1,4,31,2017-06-26,57,2.64,4.95,2.74,3.78,2.42,4.39,3.59,6.26,3.48,6.01,3.14,5.86,91.62,118.64,109.1,37,55,20,11.59,12.24,360,9.2,11.81,410,11.77,13.03,510,1.32,1.32,4.602,6.296,0,
22,8,3,2,22-3-2,2017-04-27,2017-04-30,3,1,4,32,2017-06-18,49,3.17,6.46,2.73,6.23,3.23,6.63,2.3,4.98,2.97,5.78,2.81,5.69,80.7,77.63,99.69,37,34,10,13.16,12.54,810,12.42,12.19,830,12.46,12.05,870,1.7,1.58,3.574,7.546,0,
1,2,1,5,1-1-5,2017-04-25,2017-05-01,6,1,5,1,,#NUM!,,,,,,,,,,,,,,,,,,0,7.78,8.44,400,8.95,9.83,300,8.71,9.24,330,1.62,1.29,,7.245,0,
21,1,1,3,21-1-3,2017-04-27,2017-05-01,4,1,5,2,2017-07-05,65,3.67,6.23,3.73,6.56,3.65,6.6,3.55,6.85,3.71,7.09,4.47,7.72,112.12,126.09,130.89,37,36,31,12.75,14.85,650,14.61,14.5,380,9.76,11.79,670,1.58,1.56,4.231,10.71,0,
23,7,6,2,23-6-2,2017-04-27,2017-04-30,3,1,5,3,2017-06-18,49,3.12,6.21,3.91,6.63,3.64,6.06,3.25,6.13,3.55,6.03,4,6.5,95.9,107.54,99.16,34,22,26,9.92,12.95,510,9.11,10.22,580,9.35,10.44,780,1.74,1.57,4.779,10.001,0,
17,1,4,2,17-4-2,2017-04-26,2017-04-30,4,1,5,4,2017-06-29,60,4.11,7.1,4.41,6.9,4.02,6.29,3.94,6.43,3.73,6.11,3.91,6.2,115.33,114.7,143.07,69,55,33,12.45,13.4,750,13.35,13.97,640,10.67,13.9,570,1.53,1.48,5.683,9.187,1,
19,3,2,1,19-2-1,2017-04-27,2017-05-04,7,1,5,5,2017-07-04,61,3.56,5.28,3.42,5.08,2.99,5.45,2.89,5.07,2.58,5.48,3.08,5.87,62.35,106.04,91.54,23,48,20,8.09,9.37,420,7.87,8.47,300,6.7,7.4,470,1.39,1.16,4.157,8.657,0,
11,2,8,1,11-8-1,2017-04-26,2017-04-30,4,1,5,6,2017-07-03,64,3.5,6.18,3.88,7.12,3.75,6.4,3.99,6.98,3.72,7.5,3.79,6.97,53.73,56.27,73.42,53,56,24,9.42,13.87,300,10.02,13.11,350,10.2,12.88,350,1.67,1.72,4.909,11.689,1,
2,8,6,3,2-6-3,2017-04-25,2017-05-02,7,1,5,7,2017-06-29,58,3.44,6.85,3.56,6.92,3.41,7.42,3.86,6.78,3.74,6.37,4.01,6.8,129.53,82.54,122.66,69,57,12,12.25,14.45,580,13.1,17.09,490,17.71,15.95,500,1.89,1.76,5.371,11.376,1,
27,7,1,5,27-1-5,2017-04-27,2017-04-30,3,1,5,8,2017-06-18,49,2.91,6.61,3.48,6.43,3.54,6.29,4.23,6.66,3.99,6.82,3.4,6.32,84.17,88.45,87.8,34,68,32,8.56,11.44,390,12.24,14.32,440,7.7,9.57,320,1.51,1.49,6.246,9.596,1,
14,9,5,1,14-5-1,2017-04-26,2017-04-30,4,1,5,9,2017-06-21,52,3.91,6.2,3.35,5.56,3.77,5.21,3.57,6.13,3.46,5.98,3.27,5.68,133.46,113.47,135.22,46,40,32,10.36,12.52,340,10.31,11.71,480,9.62,10.68,320,1.28,1.21,5.313,5.756,0,
1,10,6,4,1-6-4,2017-04-25,2017-05-04,9,1,5,10,2017-07-05,62,3.93,6.39,4.09,5.93,3.81,6.49,2.98,5.54,4.11,5.42,3.56,5.86,60.35,91.47,89.71,33,41,25,9.02,11.1,590,10.63,11.9,590,12.09,11.66,420,1.31,1.31,4.302,9.745,0,
16,4,7,5,16-7-5,2017-04-26,2017-04-29,3,1,5,11,2017-07-07,69,2.79,4.91,2.65,5.23,2.8,6.01,2.8,5.82,2.63,3.73,2.65,4.95,33.38,97.93,91.61,30,47,3,8.7,11.86,790,10.28,13.24,560,11.94,14.03,580,1.24,1.78,3.249,8.006,1,
26,8,4,1,26-4-1,2017-04-27,2017-05-02,5,1,5,12,2017-07-13,72,3.82,6.95,3.33,7.06,3.76,6.91,3.66,7.5,3.19,7.24,3.34,7.32,122.43,122.53,92.62,51,48,14,12.07,14.22,560,9.41,11.36,490,9.77,11.62,480,1.65,1.77,3.898,8.845,0,
14,7,3,1,14-3-1,2017-04-26,2017-04-29,3,1,5,13,2017-06-19,51,2.66,5.45,2.8,4.32,3.21,5.03,3.5,6.33,3.89,6.23,3.37,6.36,105.34,101.64,118.3,67,49,38,8.91,10.11,420,7.04,8.35,360,9.17,11.15,300,1.51,1.61,5.693,6.987,1,
26,7,1,5,26-1-5,2017-04-27,2017-05-02,5,1,5,14,2017-06-28,57,3.09,6.14,3.43,5.58,3.27,6.12,3.82,5.87,3.49,5.58,3.29,6.01,66.23,57.15,85.76,26,14,25,10.09,11.53,460,15.47,13.54,450,13.48,14.89,370,1.43,1.47,4.523,8.734,0,
14,9,5,4,14-5-4,2017-04-26,2017-05-04,8,1,5,15,2017-07-01,58,3.61,5.64,3.38,5.21,4.02,6.52,3.68,5.78,3.82,6.08,3.38,6.35,114.59,135.42,124.05,38,42,29,11.59,12.6,720,8.41,9.83,500,7.96,10.38,530,1.2,1.29,4.461,8.186,1,
