Population,Family_ID,Seed,label,Time_to_germination,Row,Column,Days_to_flower,Num_Inf,HCN_Results,Reprod_biomass,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_petiole_lgth,Avg_peducle_lgth,Avg_num_flwrs,Avg_leaf_wdth,Avg_leaf_lgth,Avg_stolon_thick,Avg_seeds_per_flower,Latitude,Longitude,Distance_to_core,Distance_to_cg
18,2,2,18-2-2,7,15,11,56,35,0,2.5618000000000003,3.3924000000000003,3.615,6.653333333333333,213.33333333333334,127.78,55.5,8.83,10.18,0.9550000000000001,2.6111111111111107,43.565262,-79.700181,27.663536159879555,3.5108454345102134
2,6,2,2-6-2,5,15,12,49,23,0,1.7218000000000004,3.9163999999999994,3.2616666666666667,6.32,613.3333333333334,77.77666666666667,60,14.533333333333333,18.543333333333333,1.67,2.3663847117794488,43.663683,-79.411443,2.643358115446909,23.877854402711133
24,2,2,24-2-2,3,15,13,65,20,0,1.4968,2.4484000000000004,3.47,5.553333333333333,246.66666666666666,83.2,41.5,9.07,10.459999999999999,1.0699999999999998,3.632016632016632,43.444847,-79.800063,41.184706639575694,16.06986639751832
25,3,3,25-3-3,3,15,14,59,16,0,1.6358000000000001,3.8773999999999997,3.5183333333333335,5.9799999999999995,623.3333333333334,106.06,45,8.863333333333333,12.43,1.42,1.9,43.432349,-79.829473,43.92776371111732,18.729344671748326
24,3,4,24-3-4,4,15,15,67,15,0,1.9278,3.8384,3.825,5.988333333333333,273.3333333333333,144.81333333333333,60,11.52,12.156666666666666,1.05,4.003571428571429,43.444847,-79.800063,41.184706639575694,16.06986639751832
26,2,4,26-2-4,3,15,16,63,31,1,2.4138000000000006,4.4803999999999995,3.8233333333333333,6.498333333333333,233.33333333333334,98.46666666666667,59,11.086666666666668,15.053333333333333,1.505,2.2305007221954742,43.414687,-79.832589,45.27544397596537,20.31390823719724
13,7,5,13-7-5,4,15,17,50,38,1,3.6218,5.471400000000001,3.3466666666666667,5.4783333333333335,390,93.30666666666667,47.5,9.393333333333333,10.443333333333333,1.705,3.0676662320730115,43.641963,-79.631233,20.25081019161363,10.596965947834507
11,1,1,11-1-1,5,15,18,66,27,1,2.1568,4.2294,3.288333333333333,5.87,540,115.73,45,11.513333333333334,12.64,1.09,2.3894817073170733,43.663863,-79.585551,16.533738844636368,14.156643177241694
7,6,1,7-6-1,4,15,19,66,12,0,0.4668000000000001,3.8484,3.7733333333333334,6.511666666666667,430,125.74,47,9.316666666666666,11.06,1.1099999999999999,3.0824780058651027,43.70646,-79.486262,10.19629667047448,22.500341511520208
7,7,3,7-7-3,5,15,20,63,39,1,2.8848000000000007,4.381400000000001,3.3516666666666666,6.155,426.6666666666667,122.45333333333333,51.5,9.403333333333334,12.106666666666667,1.3599999999999999,2.74875283446712,43.70646,-79.486262,10.19629667047448,22.500341511520208
